平台_标准化,仓库代码,州,邮编
4PX,4PX-90022,CA,90022
4PX,4PX-91730,CA,91730
4PX,4PX-91731,CA,91731
4PX,31407,GA,31407
4PX,4PX-08861,NJ,08861
Newegg,91752,CA,91752
Newegg,91761,CA,91761
SHEIN,IND1_W1_1,IN,46075
SHEIN,EWR3_W2_1,NJ,08010
SHEIN,EWR3_W2_1,NJ,08010
SHEIN,EWR2_W1_1,PA,19030
SHEIN,EWR2_W1_1,PA,19030
TEMU,92376,CA,91376
TEMU,91748,CA,91748
TEMU,91761,CA,91761
TEMU,91789,CA,91789
TEMU,31322,GA,31322
TEMU,31322,GA,31322
TEMU,60007,IL,60007
TEMU,41408,KY,41408
TEMU,07036,NJ,07036
TEMU,08022,NJ,08022
TEMU,08817,NJ,08817
TEMU,08817,NJ,08817
TEMU,08861,NJ,08861
TEMU,77067,TX,77067
TikTok,XD03_ONT6,CA,91708
TikTok,XD01_ONT1,CA,91752
TikTok,FC07_ONT3,CA,92337
TikTok,FC08_ONT4,CA,92337
TikTok,FC01_ONT2,CA,92376
TikTok,FC11_ONT5,CA,92376
TikTok,FC03_ATL1,GA,30518
TikTok,FC03_ATL1,GA,30518
TikTok,FC03_ATL1,GA,30518
TikTok,FC09_ATL2,GA,30518
TikTok,FC09_ATL2,GA,30518
TikTok,FC09_ATL2,GA,30518
TikTok,FC02_ORD1,IL,60188
TikTok,FC10_ORD2,IL,60436
TikTok,FC14_EWR4,NJ,07064
TikTok,FC14_EWR4,NJ,07064
TikTok,FC04_EWR2/XD02_EWR1,NJ,08846
TikTok,FC04_EWR2/XD02_EWR1,NJ,08846
TikTok,FC13_EWR3,NJ,08857
TikTok,FC13_EWR3,NJ,08857
TikTok,FC05_HOU1,TX,77085
TikTok,FC12_HOU3,TX,77477
TikTok,FC06_HOU2,TX,77503
Walmart,PHX1,AZ,85340
Walmart,LAX1/LAX2T/LAX2N,CA,91708
Walmart,SMF1,CA,95837
Walmart,MCO1,FL,33897
Walmart,MCO1,FL,33897
Walmart,MCO1,FL,33897
Walmart,ATL2N,GA,30117
Walmart,ATL2n,GA,30117
Walmart,ATL1,GA,30349
Walmart,ATL1,GA,30349
Walmart,ATL1,GA,30349
Walmart,ATL3,GA,30567
Walmart,ATL3,GA,30567
Walmart,ATL3,GA,30567
Walmart,ORD1s,IL,60436
Walmart,IND3,IN,46055
Walmart,IND2n,IN,46168
Walmart,IND1,IN,46418
Walmart,IND2,IN,46418
Walmart,KS1,KS,66021
Walmart,KS1,KS,66021
Walmart,MCI1n,KS,66619
Walmart,MCI1n,KS,66619
Walmart,MEM1s,KY,38654
Walmart,KY1,KY,40165
Walmart,KY1,KY,40165
Walmart,MEM1s,MS,38654
Walmart,MEM1s,MS,38654
Walmart,NJ3/NJ3T,NJ,08067
Walmart,NJ3/NJ3T,NJ,08067
Walmart,CVG1n,OH,45050
Walmart,CVG1n,OH,45050
Walmart,PHL5s,PA,17225
Walmart,PHL5s,PA,17225
Walmart,PHL4n,PA,17257
Walmart,PHL4n,PA,17257
Walmart,PHL1s,PA,18015
Walmart,PHL1s,PA,18015
Walmart,PHL2n,PA,18015
Walmart,PHL2n,PA,18015
Walmart,BNA1n,TN,37090
Walmart,BNA1s,TN,37090
Walmart,BNA1s/2,TN,37090
Walmart,DFW5s,TX,75146
Walmart,DFW5s,TX,75146
Walmart,DFW2n,TX,76177
Walmart,DFW2n,TX,76177
Wayfair,92571,CA,92571
Wayfair,30518,GA,30518
Wayfair,31322,GA,31322
Wayfair,31407,GA,31407
Wayfair,41408,KY,41408
Wayfair,08512,NJ,08512
万邑通,91789-WC1,CA,91789
万邑通,91789-WC2,CA,91789
万邑通,31322,GA,31322
万邑通,31322,GA,31322
万邑通,31322,GA,31322
万邑通,41042,KY,41042
万邑通,41048,KY,41408
万邑通,41408,KY,41408
万邑通,07036,NJ,07036
万邑通,08902,NJ,08902
万邑通,77067,TX,77067
乐歌,08016,NJ,08016
京东仓,91746,CA,91746
京东仓,92337,CA,92337
京东仓,30542,GA,30542
大健云仓,大健云仓AT仓,GA,30122
易达云,美西17仓,CA,91710
易达云,REV-J4488,CA,91752
易达云,USALA-DO01,CA,91761
易达云,美西3仓,CA,92337
易达云,美西7仓,CA,92337
易达云,USAATL-HOO5,GA,30071
易达云,USAATL-HOO5,GA,30071
易达云,USAATL-J002,GA,30518
易达云,USAATL-JOO2,GA,30518
易达云,31326,GA,31326
易达云,07728,NJ,07728
易达云,美东3仓,NJ,08816
易达云,USANJ-F007,NJ,08817
易达云,USANJ-F007,NJ,08817
易达云,USAHOU-L004,TX,77085
橙联,08518,,08518
橙联,91730-1,CA,08512
橙联,橙联91730,CA,91730
橙联,橙联91731,CA,91731
橙联,92337,CA,92337
橙联,08817,NJ,08817
橙联,08817,NJ,08817
橙联,08861,NJ,08861
橙联,08861,NJ,08861
苏莱美,92336,CA,92336
苏莱美,08831,NJ,08831
苏莱美,08831,NJ,08831
苏莱美,77584,TX,77584
西邮,08512,,08512
西邮,91730A,CA,91730
西邮,91748,CA,91748
西邮,92337,CA,92337
西邮,92376,CA,92376
西邮,92410,CA,92410
西邮,31407,GA,31407
西邮,31407,GA,31407
西邮,07064,NJ,07064
西邮,07064,NJ,07064
西邮,08086,NJ,08086
西邮,08505,NJ,08505
西邮,08505,NJ,08505
西邮,08817,NJ,08817
西邮,08817,NJ,08817
西邮,18064,PA,18064
谷仓,谷仓-91710,CA,91710
谷仓,谷仓-美西5号仓,CA,91710
谷仓,谷仓-美西6号仓,CA,91710
谷仓,谷仓-91762,CA,91762
谷仓,谷仓-美西8号仓&16号仓,CA,91762
谷仓,谷仓-91789,CA,91789
谷仓,谷仓-92316,CA,92316
谷仓,谷仓-洛杉矶21号仓,CA,92335
谷仓,谷仓-美西10号仓,CA,92336
谷仓,谷仓-美西18号仓,CA,92376
谷仓,谷仓-美东南1号仓,GA,30168
谷仓,谷仓-美南1号仓,GA,30168
谷仓,谷仓-美南5号仓,GA,30168
谷仓,谷仓-美南ATL-6,GA,30336
谷仓,谷仓-美南1号仓,GA,30618
谷仓,谷仓-美南5号仓,GA,30618
谷仓,谷仓-美南2号仓,GA,31326
谷仓,谷仓-美中1号仓,IL,60007
谷仓,谷仓-美东3号仓,NJ,07836
谷仓,谷仓-美东8号仓,NJ,07836
谷仓,谷仓-美东18号仓,NJ,08016
谷仓,谷仓-美东18号仓,NJ,08016
谷仓,谷仓-新泽西13号仓,NJ,08022
谷仓,谷仓-美东15号仓,NJ,08036
谷仓,谷仓-美东15号仓,NJ,08036
谷仓,谷仓-美东16号仓,NJ,08057
谷仓,谷仓-美东16号仓,NJ,08057
谷仓,谷仓-新泽西10号仓,NJ,08505
谷仓,谷仓-新泽西10号仓,NJ,08505
谷仓,谷仓-新泽西13号仓,NJ,08505
谷仓,谷仓-美东11号仓,NJ,08505
谷仓,谷仓-美东11号仓,NJ,08505
谷仓,谷仓-美东12号仓,NJ,08505
谷仓,谷仓-美东12号仓,NJ,08505
谷仓,08807,NJ,08807
谷仓,谷仓-美东5号仓,NJ,08831
谷仓,谷仓-美东5号仓,NJ,08831
谷仓,DAL-2,TX,75056
运去哪,BCF-92337,CA,92337
运去哪,CPF-92337,CA,92337
运去哪,CPE-30518,GA,30518
运去哪,CMP-31322,GA,31322
运去哪,CMP-31322,GA,31322
运去哪,MPR-07064,NJ,07064
运去哪,MPR-07064,NJ,07064
